label,dimension,sample_rate,sample_frequency,physical_max,physical_min,digital_max,digital_min,prefilter,transducer
ECG,uV,500.0,500.0,32767.0,-32768.0,32767,-32768,,ECG electrode
Accelerometer_X,mg,25.0,25.0,2000.0,-2000.0,8000,-8000,,X-axis
Accelerometer_Y,mg,25.0,25.0,2000.0,-2000.0,8000,-8000,,Y-axis
Accelerometer_Z,mg,25.0,25.0,2000.0,-2000.0,8000,-8000,,Z-axis
Marker,,1.0,1.0,32767.0,-32768.0,32767,-32768,4 20 8 8 50 50 16 16 140 140,Event marker
HRV,ms,5.0,5.0,65535.0,0.0,32767,-32768,,Heart Rate Variability
